Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FAM204A,1293.534374,-0.701008049,0.131185386,-5.34364438,9.11E-08,2.16E-06
PNO1,2643.164659,-0.700517893,0.129931305,-5.391448149,6.99E-08,1.68E-06
TMSB10,41387.85402,-0.698775236,0.07152973,-9.769018253,1.53E-22,2.76E-20
CKS1B,1431.629479,-0.695952148,0.132058081,-5.270045906,1.36E-07,3.11E-06
MED10,3973.340221,-0.695347235,0.103601653,-6.711738829,1.92E-11,8.83E-10
SSBP1,20821.37087,-0.69309878,0.091128763,-7.605708223,2.83E-14,1.94E-12
CLDND1,1379.131742,-0.692962708,0.118856695,-5.830237064,5.53E-09,1.63E-07
SNRPC,7765.949088,-0.690789009,0.085003329,-8.126611213,4.41E-16,3.72E-14
CD9,2279.859482,-0.689279305,0.124746691,-5.525431567,3.29E-08,8.53E-07
LAPTM4A,918.9428094,-0.68596999,0.120716194,-5.682501791,1.33E-08,3.65E-07
ITGB1BP1,8795.371438,-0.685598981,0.115955368,-5.91261098,3.37E-09,1.04E-07
SSU72,2759.169136,-0.682593705,0.112426732,-6.071453773,1.27E-09,4.20E-08
C9orf78,1888.141363,-0.681879334,0.100260569,-6.801071874,1.04E-11,4.95E-10
HAUS1,1547.728592,-0.680519507,0.099118037,-6.865748447,6.61E-12,3.26E-10
SEC62,2044.343307,-0.676900461,0.112913661,-5.994849988,2.04E-09,6.55E-08
ARPC3,19191.88062,-0.676751315,0.085020322,-7.959877088,1.72E-15,1.38E-13
H2AZ1,8967.238209,-0.676503339,0.076920337,-8.794856702,1.43E-18,1.62E-16
PSMA4,6542.660516,-0.675635951,0.090390186,-7.474660483,7.74E-14,4.98E-12
ENSG00000279483,3722.880261,-0.675284874,0.092750636,-7.280649491,3.32E-13,1.98E-11
C1QBP,7345.448478,-0.675109244,0.073931818,-9.131511441,6.75E-20,8.99E-18
VPS26A,2045.459436,-0.675097094,0.120301448,-5.611712137,2.00E-08,5.39E-07
GPN3,1581.689156,-0.675000831,0.11880656,-5.681511452,1.34E-08,3.66E-07
SUB1,27207.39866,-0.672818581,0.085128933,-7.903524139,2.71E-15,2.13E-13
FKBP1A,2232.397563,-0.672673755,0.094705231,-7.102815217,1.22E-12,6.77E-11
RBM15,984.4386005,-0.672536247,0.117594304,-5.71912263,1.07E-08,3.01E-07
CMSS1,2151.976996,-0.670273321,0.111564127,-6.007964577,1.88E-09,6.05E-08
ATG12,3122.021777,-0.669289987,0.107808996,-6.208108915,5.36E-10,1.90E-08
RPL23AP82,1157.085355,-0.669008243,0.119972631,-5.576340518,2.46E-08,6.49E-07
MRPS18C,2693.66452,-0.668479981,0.105715176,-6.323406037,2.56E-10,9.70E-09
DNAJC8,2040.361381,-0.66761868,0.123974368,-5.385134754,7.24E-08,1.73E-06
MRPL58,2931.094931,-0.666029864,0.089582304,-7.434837377,1.05E-13,6.63E-12
PRELID3B,6318.665466,-0.665492126,0.095525623,-6.966634798,3.25E-12,1.69E-10
TRAPPC3,2673.879429,-0.660546434,0.122386069,-5.397235494,6.77E-08,1.63E-06
KRT8,6095.795109,-0.657277219,0.124213246,-5.291522786,1.21E-07,2.80E-06
SNHG5,6912.107136,-0.656467089,0.079903276,-8.215771921,2.11E-16,1.88E-14
RTRAF,12800.3619,-0.656281733,0.09954698,-6.592683533,4.32E-11,1.87E-09
NIFK,5618.200005,-0.650250533,0.090816494,-7.160048858,8.06E-13,4.59E-11
SRSF10,2473.762762,-0.648763567,0.096745,-6.705913176,2.00E-11,9.17E-10
TMEM126A,5593.273656,-0.644137862,0.109459344,-5.884722461,3.99E-09,1.21E-07
RFC2,834.4474578,-0.643090636,0.120018676,-5.35825469,8.40E-08,2.00E-06
NDUFAF2,4751.746938,-0.641664055,0.108501812,-5.91385568,3.34E-09,1.04E-07
SPRYD7,1184.31241,-0.640508205,0.125794539,-5.091701188,3.55E-07,7.34E-06
ZMAT5,1450.545024,-0.637997264,0.100746701,-6.332686438,2.41E-10,9.21E-09
NFU1,1985.898418,-0.635034979,0.116510075,-5.450472654,5.02E-08,1.25E-06
PSMB4,3053.155649,-0.635003514,0.09874941,-6.430453773,1.27E-10,5.09E-09
PARK7,6824.575938,-0.633314483,0.10133929,-6.249446628,4.12E-10,1.48E-08
SDHB,5867.112182,-0.631874351,0.074685497,-8.460469203,2.66E-17,2.63E-15
MSANTD3,902.9784429,-0.631776277,0.11429298,-5.527691019,3.24E-08,8.44E-07
TMED10,4014.170454,-0.631555312,0.095614331,-6.605236928,3.97E-11,1.74E-09
NACA,134442.462,-0.629680953,0.071058556,-8.861437549,7.90E-19,9.16E-17
DNTTIP2,2456.210321,-0.627544784,0.098379486,-6.378817452,1.78E-10,6.95E-09
C1orf52,2287.804679,-0.62579279,0.111705919,-5.602145294,2.12E-08,5.68E-07
TPM3,2695.545168,-0.624662129,0.099619768,-6.270463598,3.60E-10,1.32E-08
COX6C,10480.86995,-0.622209284,0.083019404,-7.494745294,6.64E-14,4.34E-12
HMGN2,2120.791398,-0.621358769,0.117832974,-5.273216372,1.34E-07,3.07E-06
NDUFAF4,5328.479847,-0.620823121,0.118195385,-5.25251576,1.50E-07,3.39E-06
SNRPG,10038.10986,-0.618419738,0.075327136,-8.209786964,2.22E-16,1.94E-14
RWDD1,9998.89837,-0.615784011,0.097715278,-6.301819172,2.94E-10,1.09E-08
MALSU1,6518.180658,-0.615301531,0.094721685,-6.495888807,8.25E-11,3.44E-09
EXOSC8,4029.779803,-0.614967435,0.095089797,-6.467228423,9.98E-11,4.05E-09
UBB,8424.238627,-0.613724558,0.099743138,-6.15305042,7.60E-10,2.62E-08
ANXA3,2214.414076,-0.613486234,0.111150812,-5.519403976,3.40E-08,8.78E-07
NSA2,5573.77718,-0.613026205,0.091947004,-6.667168889,2.61E-11,1.16E-09
SNRPB,5146.494735,-0.611270737,0.090693838,-6.739936796,1.58E-11,7.42E-10
